symbol,interval_sc,open_timestamp_ms,open,high,low,close,volume
BTC-USDT,60,1761370980000,111290.23,111290.24,111250.07,111250.07,6.01325
BTC-USDT,60,1761371040000,111250.07,111287.67,111250.07,111287.67,3.98073
BTC-USDT,60,1761371100000,111287.67,111339.2,111287.66,111339.19,1.71033
BTC-USDT,60,1761371160000,111339.19,111349.99,111335.85,111349.99,7.83776
BTC-USDT,60,1761371220000,111349.98,111405.0,111349.98,111405.0,10.84813
BTC-USDT,60,1761371280000,111405.0,111433.54,111379.32,111379.32,8.14384
BTC-USDT,60,1761371340000,111379.32,111379.32,111317.58,111317.58,3.32279
BTC-USDT,60,1761371400000,111317.59,111317.59,111317.58,111317.58,0.66182
BTC-USDT,60,1761371460000,111317.59,111338.03,111317.59,111338.03,1.52999
BTC-USDT,60,1761371520000,111338.02,111344.4,111327.22,111344.4,11.93017
BTC-USDT,60,1761371580000,111344.39,111347.18,111344.39,111347.17,0.35788
BTC-USDT,60,1761371640000,111347.18,111347.18,111322.02,111322.02,1.88688
BTC-USDT,60,1761371700000,111322.02,111322.03,111308.71,111308.72,0.69826
BTC-USDT,60,1761371760000,111308.71,111308.72,111286.84,111286.84,1.85284
BTC-USDT,60,1761371820000,111286.84,111348.36,111286.84,111339.33,7.74989
BTC-USDT,60,1761371880000,111339.34,111375.82,111334.24,111375.81,5.83525
BTC-USDT,60,1761371940000,111375.82,111386.79,111375.82,111386.79,1.58792
BTC-USDT,60,1761372000000,111386.78,111486.52,111386.78,111486.52,15.95803
BTC-USDT,60,1761372060000,111486.52,111497.1,111443.26,111443.27,12.5056
BTC-USDT,60,1761372120000,111443.27,111456.87,111441.49,111456.86,3.89898
BTC-USDT,60,1761372180000,111456.86,111479.73,111448.82,111448.83,4.72615
BTC-USDT,60,1761372240000,111448.82,111448.83,111400.04,111400.05,11.37176
BTC-USDT,60,1761372300000,111400.04,111400.04,111325.68,111368.4,14.82979
BTC-USDT,60,1761372360000,111368.39,111368.4,111324.04,111324.05,3.1259
BTC-USDT,60,1761372420000,111324.04,111357.47,111324.04,111357.47,2.39104
BTC-USDT,60,1761372480000,111357.47,111357.47,111338.3,111338.3,4.32141
BTC-USDT,60,1761372540000,111338.3,111411.17,111338.3,111411.16,5.96233
BTC-USDT,60,1761372600000,111411.17,111433.59,111411.16,111433.58,1.67039
BTC-USDT,60,1761372660000,111433.59,111433.59,111400.45,111400.45,1.54628
BTC-USDT,60,1761372720000,111400.45,111412.16,111395.43,111412.15,2.16651
BTC-USDT,60,1761372780000,111412.16,111412.16,111412.15,111412.16,1.11182
BTC-USDT,60,1761372840000,111412.16,111412.16,111392.73,111406.14,4.08641
